,Insertion Sort,Selection Sort
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,8003000
10,0,0
11,0,0
12,8011000,0
13,0,7999000
14,0,0
15,0,7992000
16,0,8002000
17,0,7996000
18,0,0
19,0,0
20,0,7999000
21,0,7993000
22,0,8005000
23,0,7994000
24,0,7997000
25,0,7996000
26,0,16003000
27,0,15999000
28,0,7998000
29,0,16000000
30,0,15998000
31,0,16001000
32,0,16023000
33,0,15998000
34,0,24015000
35,0,16001000
36,7990000,24000000
37,0,24013000
38,0,23988000
39,0,23991000
40,8009000,24008000
41,0,32004000
42,7987000,23996000
43,8002000,31988000
44,0,32008000
45,0,32020000
46,0,32005000
47,0,32018000
48,0,28725000
49,0,39936000
50,0,40001000
51,0,47999000
52,0,47985000
53,0,48000000
54,0,48003000
55,0,49275000
56,8023000,47992000
57,0,48011000
58,7990000,55996000
59,0,60080000
60,2159000,53198000
61,0,56002000
62,0,72003000
63,0,64001000
64,0,56021000
65,0,63930000
66,8013000,71992000
67,0,72381000
68,0,72010000
69,0,77248000
70,0,76880000
71,0,79987000
72,0,95995000
73,0,88013000
74,0,136006000
75,0,83972000
76,0,91584000
77,7983000,91934000
78,0,108665000
79,0,104018000
80,0,104538000
81,0,112001000
82,7995000,111187000
83,0,108896000
84,0,106263000
85,0,111995000
86,0,119998000
87,0,125134000
88,0,119801000
89,4755000,116865000
90,0,137175000
91,0,141115000
92,0,135981000
93,8023000,127992000
94,8007000,140658000
95,8006000,144490000
96,7983000,152016000
97,7985000,165714000
98,0,165547000
99,16004000,170156000
100,5759000,151772000
101,4789000,176009000
102,0,164726000
103,8014000,164882000
104,8014000,173085000
105,0,176003000
106,0,172201000
107,2221000,165443000
108,13099000,178954000
109,12595000,182235000
110,5166000,195458000
111,6176000,189863000
112,7343000,206986000
113,6584000,191527000
114,13917000,194897000
115,12922000,197835000
116,15280000,205852000
117,11809000,215474000
118,8852000,206946000
119,15098000,207508000
120,1240000,213497000
121,15183000,223167000
122,14722000,234384000
123,0,229555000
124,3783000,237307000
125,7878000,238439000
126,7996000,242593000
127,2944000,251374000
128,6131000,260969000
129,4526000,253719000
130,10342000,259510000
131,4478000,261439000
132,13942000,261452000
133,12947000,272655000
134,2213000,268679000
135,11616000,270196000
136,11386000,271805000
137,15040000,292169000
138,924000,288276000
139,7214000,289026000
140,11352000,299695000
141,4343000,311369000
142,4939000,307063000
143,6022000,300348000
144,15356000,323461000
145,8103000,315381000
146,16356000,332670000
147,5427000,339141000
148,0,343322000
149,0,343728000
150,8001000,355084000
151,8020000,346090000
152,13988000,440864000
153,0,375993000
154,0,399903000
155,8001000,368854000
156,0,378622000
157,8007000,393298000
158,7995000,397873000
159,3590000,392083000
160,7576000,412952000
161,8030000,402569000
162,7985000,420146000
163,7989000,479816000
164,16223000,437685000
165,0,448007000
166,8013000,425301000
167,10962000,431212000
168,12234000,433407000
